                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.83763,                0.75199,                 1.1335,                0.67593,                0.69363,                0.69058,                0.49157,                0.92672,                0.83656,                 1.2463,               0.004852,               0.004852,               0.004852
                     54,                0.82494,                0.72504,                 1.1319,                0.71167,                0.70484,                0.69727,                0.48868,                0.96015,                0.89091,                 1.2676,               0.004753,               0.004753,               0.004753
                     55,                0.81897,                0.72058,                 1.1266,                0.73024,                0.74248,                0.73133,                0.50975,                0.94298,                0.86079,                 1.2492,               0.004654,               0.004654,               0.004654
                     56,                0.81708,                0.71677,                 1.1267,                0.60248,                0.72103,                0.66643,                0.47006,                 0.9391,                0.90784,                 1.2475,               0.004555,               0.004555,               0.004555
                     57,                 0.8164,                0.70528,                 1.1195,                0.70867,                0.73693,                0.73527,                0.51457,                0.95295,                0.89008,                 1.2607,               0.004456,               0.004456,               0.004456
                     58,                0.81956,                0.70123,                  1.124,                 0.8055,                0.68459,                0.70961,                0.50733,                0.93782,                0.84287,                 1.2491,               0.004357,               0.004357,               0.004357
                     59,                0.79786,                0.68213,                 1.1124,                0.69804,                 0.6922,                0.71732,                0.50481,                0.93394,                0.87065,                 1.2432,               0.004258,               0.004258,               0.004258
                     60,                  0.802,                0.69392,                 1.1214,                0.71514,                0.67061,                0.66707,                0.47528,                0.93181,                0.94717,                 1.2489,               0.004159,               0.004159,               0.004159
                     61,                0.80228,                0.69623,                 1.1166,                0.76688,                0.70429,                0.72323,                  0.505,                 0.9246,                0.84163,                 1.2259,                0.00406,                0.00406,                0.00406
                     62,                0.79884,                0.68133,                 1.1086,                0.74142,                 0.6854,                0.71997,                0.51402,                 0.9427,                0.85232,                 1.2426,               0.003961,               0.003961,               0.003961
                     63,                0.78191,                0.65994,                 1.0997,                0.64322,                0.74023,                0.70321,                0.49534,                0.93203,                 0.8887,                  1.254,               0.003862,               0.003862,               0.003862
                     64,                0.79131,                 0.6731,                 1.1081,                0.72819,                0.72946,                0.73778,                0.51786,                0.93955,                0.83689,                 1.2232,               0.003763,               0.003763,               0.003763
                     65,                0.77444,                0.65842,                 1.0983,                0.80155,                0.68375,                0.75418,                0.54422,                0.93479,                0.85291,                 1.2285,               0.003664,               0.003664,               0.003664
                     66,                0.78258,                0.66449,                 1.1044,                0.67322,                0.74801,                0.71544,                0.51164,                 0.9155,                0.82872,                 1.2329,               0.003565,               0.003565,               0.003565
                     67,                0.77609,                0.65414,                 1.0887,                0.72345,                0.73941,                0.72158,                0.52388,                0.89461,                 0.8374,                 1.2039,               0.003466,               0.003466,               0.003466
                     68,                0.77086,                0.64239,                 1.0889,                0.72616,                0.78967,                0.80313,                0.56944,                0.93058,                 0.8078,                 1.2304,               0.003367,               0.003367,               0.003367
                     69,                 0.7677,                 0.6367,                 1.0931,                0.72485,                 0.6948,                0.75929,                0.54546,                0.89365,                0.80525,                 1.2024,               0.003268,               0.003268,               0.003268
                     70,                0.76812,                 0.6356,                 1.0933,                0.79013,                0.78797,                0.80289,                0.57385,                0.90306,                0.77839,                 1.2135,               0.003169,               0.003169,               0.003169
                     71,                0.75799,                0.62515,                 1.0853,                0.72558,                0.74056,                0.75002,                0.54378,                 0.9039,                0.79207,                  1.196,                0.00307,                0.00307,                0.00307
                     72,                 0.7442,                0.61364,                 1.0793,                0.83837,                0.72318,                0.73818,                0.54089,                0.90752,                0.81949,                 1.2143,               0.002971,               0.002971,               0.002971
                     73,                0.74715,                0.61831,                 1.0858,                0.72322,                0.66126,                0.68367,                0.49886,                0.91022,                0.84117,                 1.2132,               0.002872,               0.002872,               0.002872
                     74,                0.74789,                0.60798,                 1.0912,                0.63351,                0.74357,                0.71705,                0.52177,                0.89132,                0.79537,                 1.2155,               0.002773,               0.002773,               0.002773
                     75,                0.73233,                0.60514,                 1.0696,                0.74931,                 0.7389,                0.75265,                 0.5358,                0.90947,                0.78874,                 1.2277,               0.002674,               0.002674,               0.002674
